s_codigo_cf,fecha,hora,reg_val,time_s
em-ciep-01,191120,181337,0,18:13:37
em-ciep-01,191120,181345,0,18:13:45
em-ciep-01,191120,181353,0,18:13:53
em-ciep-01,191120,181401,0,18:14:01
em-ciep-01,191120,181409,0,18:14:09
em-ciep-01,191120,181417,0,18:14:17
em-ciep-01,191120,181425,0,18:14:25
em-ciep-01,191120,181433,0,18:14:33
em-ciep-01,191120,181441,0,18:14:41
em-ciep-01,191120,181449,0,18:14:49
em-ciep-01,191120,181457,0,18:14:57
em-ciep-01,191120,181505,0,18:15:05
em-ciep-01,191120,181512,0,18:15:12
em-ciep-01,191120,181520,0,18:15:20
em-ciep-01,191120,181528,0,18:15:28
em-ciep-01,191120,181536,0,18:15:36
em-ciep-01,191120,181544,0,18:15:44
em-ciep-01,191120,181552,0,18:15:52
em-ciep-01,191120,181600,0,18:16:00
em-ciep-01,191120,181608,0,18:16:08
em-ciep-01,191120,181616,0,18:16:16
em-ciep-01,191120,181624,1,18:16:24
em-ciep-01,191120,181632,1,18:16:32
em-ciep-01,191120,181640,1,18:16:40
em-ciep-01,191120,181648,1,18:16:48
em-ciep-01,191120,181656,1,18:16:56
em-ciep-01,191120,181704,2,18:17:04
em-ciep-01,191120,181712,2,18:17:12
em-ciep-01,191120,181720,2,18:17:20
em-ciep-01,191120,181728,1,18:17:28
em-ciep-01,191120,181736,1,18:17:36
em-ciep-01,191120,181744,0,18:17:44
em-ciep-01,191120,181753,1,18:17:53
em-ciep-01,191120,181801,1,18:18:01
em-ciep-01,191120,181809,0,18:18:09
em-ciep-01,191120,181817,1,18:18:17
em-ciep-01,191120,181825,1,18:18:25
em-ciep-01,191120,181833,1,18:18:33
em-ciep-01,191120,181841,1,18:18:41
em-ciep-01,191120,181849,1,18:18:49
em-ciep-01,191120,181857,1,18:18:57
em-ciep-01,191120,181905,1,18:19:05
em-ciep-01,191120,181913,1,18:19:13
em-ciep-01,191120,181921,0,18:19:21
em-ciep-01,191120,181929,0,18:19:29
em-ciep-01,191120,181937,0,18:19:37
em-ciep-01,191120,181945,0,18:19:45
em-ciep-01,191120,181953,0,18:19:53
em-ciep-01,191120,182001,0,18:20:01
em-ciep-01,191120,182009,2,18:20:09
em-ciep-01,191120,182017,2,18:20:17
em-ciep-01,191120,182025,1,18:20:25
em-ciep-01,191120,182033,0,18:20:33
em-ciep-01,191120,182041,0,18:20:41
em-ciep-01,191120,182049,1,18:20:49
em-ciep-01,191120,182057,1,18:20:57
em-ciep-01,191120,182105,1,18:21:05
em-ciep-01,191120,182113,1,18:21:13
em-ciep-01,191120,182121,0,18:21:21
em-ciep-01,191120,182129,0,18:21:29
em-ciep-01,191120,182137,0,18:21:37
em-ciep-01,191120,182145,0,18:21:45
em-ciep-01,191120,182153,0,18:21:53
em-ciep-01,191120,182201,0,18:22:01
em-ciep-01,191120,182209,0,18:22:09
em-ciep-01,191120,182217,0,18:22:17
em-ciep-01,191120,182225,0,18:22:25
em-ciep-01,191120,182233,0,18:22:33
em-ciep-01,191120,182241,0,18:22:41
em-ciep-01,191120,182249,0,18:22:49
em-ciep-01,191120,182257,0,18:22:57
em-ciep-01,191120,182305,0,18:23:05
em-ciep-01,191120,182313,0,18:23:13
em-ciep-01,191120,182321,0,18:23:21
em-ciep-01,191120,182329,0,18:23:29
em-ciep-01,191120,182337,0,18:23:37
em-ciep-01,191120,182345,0,18:23:45
em-ciep-01,191120,182353,0,18:23:53
em-ciep-01,191120,182401,0,18:24:01
em-ciep-01,191120,182409,0,18:24:09
em-ciep-01,191120,182417,0,18:24:17
em-ciep-01,191120,182425,0,18:24:25
em-ciep-01,191120,182433,0,18:24:33
em-ciep-01,191120,182441,1,18:24:41
em-ciep-01,191120,182449,0,18:24:49
em-ciep-01,191120,182457,1,18:24:57
em-ciep-01,191120,182505,0,18:25:05
em-ciep-01,191120,182513,0,18:25:13
em-ciep-01,191120,182521,0,18:25:21
em-ciep-01,191120,182529,0,18:25:29
em-ciep-01,191120,182537,0,18:25:37
em-ciep-01,191120,182545,0,18:25:45
em-ciep-01,191120,182553,0,18:25:53
em-ciep-01,191120,182601,0,18:26:01
em-ciep-01,191120,182609,0,18:26:09
em-ciep-01,191120,182617,0,18:26:17
em-ciep-01,191120,182625,0,18:26:25
em-ciep-01,191120,182633,0,18:26:33
em-ciep-01,191120,182641,0,18:26:41
em-ciep-01,191120,182649,0,18:26:49
em-ciep-01,191120,182657,0,18:26:57
em-ciep-01,191120,182705,0,18:27:05
em-ciep-01,191120,182713,0,18:27:13
em-ciep-01,191120,182721,0,18:27:21
em-ciep-01,191120,182729,1,18:27:29
em-ciep-01,191120,182737,0,18:27:37
em-ciep-01,191120,182745,0,18:27:45
em-ciep-01,191120,182753,0,18:27:53
em-ciep-01,191120,182801,0,18:28:01
em-ciep-01,191120,182809,0,18:28:09
em-ciep-01,191120,182817,0,18:28:17
em-ciep-01,191120,182825,0,18:28:25
em-ciep-01,191120,182833,0,18:28:33
em-ciep-01,191120,182841,0,18:28:41
em-ciep-01,191120,182849,0,18:28:49
em-ciep-01,191120,182857,0,18:28:57
em-ciep-01,191120,182905,0,18:29:05
em-ciep-01,191120,182913,0,18:29:13
em-ciep-01,191120,182921,0,18:29:21
em-ciep-01,191120,182929,0,18:29:29
em-ciep-01,191120,182937,0,18:29:37
em-ciep-01,191120,182945,0,18:29:45
em-ciep-01,191120,182953,0,18:29:53
em-ciep-01,191120,183001,0,18:30:01
em-ciep-01,191120,183009,0,18:30:09
em-ciep-01,191120,183017,0,18:30:17
em-ciep-01,191120,183025,0,18:30:25
em-ciep-01,191120,183033,0,18:30:33
em-ciep-01,191120,183041,0,18:30:41
em-ciep-01,191120,183049,0,18:30:49
em-ciep-01,191120,183057,0,18:30:57
em-ciep-01,191120,183105,0,18:31:05
em-ciep-01,191120,183113,0,18:31:13
em-ciep-01,191120,183121,0,18:31:21
em-ciep-01,191120,183129,0,18:31:29
em-ciep-01,191120,183137,0,18:31:37
em-ciep-01,191120,183145,0,18:31:45
em-ciep-01,191120,183153,0,18:31:53
em-ciep-01,191120,183201,0,18:32:01
em-ciep-01,191120,183209,0,18:32:09
em-ciep-01,191120,183217,0,18:32:17
em-ciep-01,191120,183225,0,18:32:25
em-ciep-01,191120,183233,0,18:32:33
em-ciep-01,191120,183241,0,18:32:41
em-ciep-01,191120,183249,0,18:32:49
em-ciep-01,191120,183257,0,18:32:57
em-ciep-01,191120,183305,0,18:33:05
em-ciep-01,191120,183313,0,18:33:13
em-ciep-01,191120,183321,0,18:33:21
em-ciep-01,191120,183329,0,18:33:29
em-ciep-01,191120,183337,0,18:33:37
em-ciep-01,191120,183345,0,18:33:45
em-ciep-01,191120,183353,0,18:33:53
em-ciep-01,191120,183401,0,18:34:01
em-ciep-01,191120,183409,0,18:34:09
em-ciep-01,191120,183417,0,18:34:17
em-ciep-01,191120,183425,0,18:34:25
em-ciep-01,191120,183433,0,18:34:33
em-ciep-01,191120,183441,0,18:34:41
em-ciep-01,191120,183449,0,18:34:49
em-ciep-01,191120,183457,0,18:34:57
em-ciep-01,191120,183505,0,18:35:05
em-ciep-01,191120,183513,0,18:35:13
em-ciep-01,191120,183521,0,18:35:21
em-ciep-01,191120,183529,0,18:35:29
em-ciep-01,191120,183537,0,18:35:37
em-ciep-01,191120,183545,0,18:35:45
em-ciep-01,191120,183553,0,18:35:53
em-ciep-01,191120,183601,0,18:36:01
em-ciep-01,191120,183609,0,18:36:09
em-ciep-01,191120,183617,0,18:36:17
em-ciep-01,191120,183625,0,18:36:25
em-ciep-01,191120,183633,0,18:36:33
em-ciep-01,191120,183641,0,18:36:41
em-ciep-01,191120,183649,0,18:36:49
em-ciep-01,191120,183657,0,18:36:57
em-ciep-01,191120,183705,0,18:37:05
em-ciep-01,191120,183713,0,18:37:13
em-ciep-01,191120,183721,0,18:37:21
em-ciep-01,191120,183729,0,18:37:29
em-ciep-01,191120,183737,0,18:37:37
em-ciep-01,191120,183745,0,18:37:45
em-ciep-01,191120,183753,0,18:37:53
